,count,mean,std,min,25%,50%,75%,max
BEATSPERMINUTE,50.0,120.06,30.898391742045384,85.0,96.0,104.5,137.5,190.0
ENERGY,50.0,64.06,14.231912975379506,32.0,55.25,66.5,74.75,88.0
DANCEABILITY,50.0,71.38,11.929880167727022,29.0,67.0,73.5,79.75,90.0
LOUDNESSDB,50.0,-5.66,2.056448295444535,-11.0,-6.75,-6.0,-4.0,-2.0
LIVENESS,50.0,14.66,11.118306287104955,5.0,8.0,11.0,15.75,58.0
VALENCE,50.0,54.6,22.33602379976511,10.0,38.25,55.5,69.5,95.0
LENGTH,50.0,200.96,39.14387902732843,115.0,176.75,198.0,217.5,309.0
ACOUSTICNESS,50.0,22.16,18.99555264813749,1.0,8.25,15.0,33.75,75.0
SPEECHINESS,50.0,12.48,11.16159596517433,3.0,5.0,7.0,15.0,46.0
POPULARITY,50.0,87.5,4.491488549217854,70.0,86.0,88.0,90.75,95.0
